0,111 113 148 173 199 226 237 290 371 708 808 849 856 894 946 946 966 966 1016 1016 1019 1084 1088 1132 1141 1165 1165 1218 1224 1280 1296 1312 1313 1334 1335 1418 1436 1532 1534 1593 1593 1598 1688 1823 1823 1823 1837 1837 1869 1869 1948 1967 1975
1,111 113 115 148 173 199 290 312 371 692 715 839 888 894 946 954 1019 1036 1108 1132 1239 1250 1260 1269 1296 1335 1593 1726 1782 1823 1837 1948 1960
0,111 113 216 226 229 507 788 867 894 946 954 966 1016 1016 1019 1073 1218 1236 1280 1296 1296 1312 1313 1338 1404 1406 1539 1598 1688 1726 1739 1743 1822 1823 1823 1825 1837 1837 1948 1971 1977
2,111 111 113 165 173 182 199 220 226 237 254 290 364 425 449 525 638 644 692 788 808 818 856 893 894 946 954 966 1016 1016 1019 1056 1073 1103 1218 1239 1260 1280 1296 1296 1312 1313 1328 1334 1338 1426 1442 1453 1464 1503 1593 1598 1746 1782 1800 1804 1822 1823 1823 1823 1825 1837 1837 1867 1898 1960 1967 1983
3,364 371 425 638 849 852 894 946 1019 1239 1260 1269 1284 1312 1414 1569 1590 1593 1782 1823 1833 1837 1948 1960
4,38 111 196 364 573 788 946 966 1019 1239 1296 1309 1593 1732 1782 1823
5,3 13 24 25 32 38 43 52 53 78 81 94 103 103 111 111 113 173 196 199 199 237 251 254 254 290 305 334 364 371 372 394 485 565 565 638 657 727 727 788 808 808 820 820 839 864 880 880 881 894 894 946 946 946 954 999 1008 1016 1016 1019 1029 1029 1047 1064 1064 1132 1189 1236 1239 1269 1280 1280 1296 1298 1343 1343 1438 1483 1503 1510 1569 1593 1593 1598 1609 1625 1663 1682 1688 1782 1823 1823 1824 1825 1837 1869 1869 1876 1894 1903 1948 1960 1967 1967 1982 1993
0,16 117 173 182 199 237 290 364 371 378 528 788 839 946 954 1016 1019 1139 1162 1215 1280 1280 1296 1296 1313 1328 1334 1439 1500 1503 1569 1593 1608 1625 1688 1814 1816 1823 1823 1837 1843 1948 1968 1977
6,111 290 383 644 785 790 894 946 954 969 1016 1019 1019 1139 1189 1239 1239 1296 1312 1327 1335 1442 1469 1598 1661 1688 1782 1782 1823 1823 1837 1898 1967 1977
7,4 5 24 26 111 111 113 148 173 199 237 290 383 392 528 644 716 788 788 852 893 946 954 966 1016 1019 1073 1093 1096 1117 1132 1215 1218 1260 1272 1296 1296 1312 1328 1338 1418 1431 1608 1632 1823 1823 1825 1833 1837 1837 1846 1967 1971 1977 1984
8,1 2 3 3 3 3 4 4 5 5 6 6 7 7 8 9 9 12 13 14 14 15 15 16 16 17 24 24 24 24 25 25 26 27 28 29 29 30 30 30 32 33 34 34 35 36 38 38 38 39 40 41 42 42 43 43 45 47 47 49 52 52 52 53 53 54 56 57 58 62 64 66 66 66 67 67 68 69 70 74 77 78 78 78 79 80 81 82 83 83 85 87 87 88 91 94 94 94 95 96 98 99 103 103 104 105 106 107 109 111 111 111 111 111 113 113 114 114 120 131 132 148 154 173 173 182 184 190 196 196 196 199 199 199 199 199 203 203 207 215 220 225 225 226 226 226 229 237 237 237 254 254 257 257 281 290 290 290 294 296 300 304 305 312 333 350 356 357 364 364 371 371 371 372 372 372 378 379 379 383 383 383 384 394 425 426 427 433 444 449 452 471 473 482 484 485 489 489 489 494 525 526 528 545 557 565 571 571 571 572 573 573 575 575 582 582 601 609 626 638 644 657 657 657 663 692 698 698 708 709 719 726 727 757 761 761 761 763 767 767 768 774 774 788 788 788 788 788 796 804 804 804 808 808 808 808 814 814 820 820 833 839 839 839 843 849 852 852 863 863 863 863 863 864 864 867 868 882 888 893 893 893 894 894 894 905 905 905 910 933 946 946 946 954 954 956 956 956 966 966 966 966 966 967 967 969 969 986 986 986 999 1000 1003 1008 1016 1016 1016 1016 1018 1019 1019 1019 1019 1024 1029 1038 1053 1064 1064 1069 1073 1075 1084 1088 1093 1103 1103 1103 1104 1116 1121 1132 1135 1137 1139 1142 1154 1154 1162 1162 1166 1211 1213 1215 1218 1218 1218 1224 1224 1228 1236 1239 1239 1248 1250 1252 1258 1258 1259 1260 1260 1262 1262 1262 1264 1269 1269 1272 1277 1280 1280 1280 1281 1281 1284 1284 1289 1290 1296 1296 1296 1296 1297 1297 1297 1301 1302 1303 1303 1309 1309 1312 1312 1312 1312 1313 1313 1314 1314 1316 1321 1327 1328 1328 1328 1328 1330 1330 1334 1334 1334 1335 1337 1337 1338 1343 1346 1346 1346 1353 1373 1373 1374 1381 1394 1394 1396 1402 1403 1408 1413 1414 1414 1415 1416 1418 1420 1427 1431 1438 1447 1447 1447 1450 1450 1462 1462 1493 1496 1497 1499 1503 1503 1525 1534 1539 1539 1544 1544 1545 1545 1546 1558 1558 1562 1577 1593 1593 1593 1593 1599 1606 1611 1613 1625 1625 1638 1638 1639 1640 1640 1641 1656 1659 1661 1671 1674 1682 1686 1686 1686 1688 1688 1688 1689 1689 1692 1693 1706 1717 1717 1723 1723 1726 1728 1730 1735 1739 1743 1744 1762 1763 1763 1767 1767 1767 1768 1780 1780 1780 1781 1781 1782 1782 1800 1816 1816 1822 1823 1823 1823 1823 1823 1824 1825 1825 1825 1825 1829 1830 1833 1833 1837 1837 1837 1837 1837 1838 1844 1845 1867 1869 1869 1873 1873 1873 1876 1876 1883 1890 1890 1894 1894 1895 1895 1898 1898 1903 1903 1903 1907 1916 1916 1918 1918 1926 1938 1943 1948 1950 1960 1960 1960 1967 1967 1967 1967 1968 1971 1973 1975 1976 1977 1980 1980 1982 1990 1993 1993 1993
9,67 72 111 182 199 226 383 394 449 493 788 788 839 894 946 966 1019 1162 1224 1248 1359 1508 1596 1823 1837
6,111 199 275 852 1016 1019 1296 1689 1782 1810 1823 1837 1843
4,111 115 151 182 196 199 226 379 512 528 808 808 893 894 908 946 946 954 1016 1019 1224 1236 1269 1296 1296 1313 1328 1328 1334 1396 1688 1726 1780 1822 1823 1823 1837 1837 1867 1876 1967 1967 1975
5,57 173 199 946 1019 1250 1609 1823 1837
2,111 209 867 1218 1228 1239 1782 1823 1837 1971
2,111 113 131 152 199 203 291 364 437 573 638 788 856 946 954 1016 1093 1132 1139 1239 1280 1281 1296 1296 1313 1314 1435 1569 1723 1782 1823 1823 1823 1837 1837 1898 1967
3,3 38 111 199 237 296 372 788 797 893 894 966 1296 1313 1335 1503 1593 1617 1823 1823 1833 1837
7,199 257 484 954 966 1019 1818 1823 1837 1890 1948 1960 1971
